theme_id,theme_type,theme_name,cell_id,route_item_id,bottleneck_status,feasibility,scarcity,substitutability,demand_evidence,supply_evidence,company_progress,canonical_point_ids,missing_evidence,source_ids,as_of
T001,limited_demand,AI集群800G光互连部署需求,MOD1,,candidate,partially_supported,company_claim_only,insufficient,CL007:Cisco披露Q2来自超大规模客户的AI基础设施合计订单为21亿美元,CL001:AAOI称Q1完成对一家大型超大规模客户的首次800G批量交付; CL002:AAOI称Q1末800G模块月产能接近10万只; CL003:AAOI预计800G从Q2开始明显放量; CL005:管理层把名义产能到实际收入的时差归因于制造周期; CL006:AAOI称其2026收入水平受产能与供应链而非市场需求限制; CL021:Lumentum披露云光模块出货环比增长超过40%; CL032:Fabrinet称datacom组件与材料短缺使出货和收入显著低于需求; CL034:Fabrinet确认其向超大规模客户推进的两个datacom模块项目均为800G scale-out应用; CL036:Arista称行业范围多类关键组件短缺且需求超过当年供给,CL001[management]:AAOI称Q1完成对一家大型超大规模客户的首次800G批量交付; CL002[management]:AAOI称Q1末800G模块月产能接近10万只; CL003[management]:AAOI预计800G从Q2开始明显放量; CL007[management]:Cisco披露Q2来自超大规模客户的AI基础设施合计订单为21亿美元; CL021[management]:Lumentum披露云光模块出货环比增长超过40%; CL034[management]:Fabrinet确认其向超大规模客户推进的两个datacom模块项目均为800G scale-out应用,P074,Cisco仅确认AI基础设施订单增长而未确认800G模块短缺；行业卡点仍待更多下游直接证据; 缺少与该受限需求对应的增量产能、制造周期、客户认证及800G批量交付证据,S_AAOI_2026Q1_C;S_AAOI_Q1_RESULT_A;S_ANET_2026Q1_CALL;S_CSCO_2026Q2_A;S_FN_2026Q3_C;S_LITE_2026Q3,2026-08-06
T002,bottleneck,800G量产能力和制造周期,MOD1,,candidate,partially_supported,company_claim_only,insufficient,CL007:Cisco披露Q2来自超大规模客户的AI基础设施合计订单为21亿美元,CL001:AAOI称Q1完成对一家大型超大规模客户的首次800G批量交付; CL002:AAOI称Q1末800G模块月产能接近10万只; CL003:AAOI预计800G从Q2开始明显放量; CL005:管理层把名义产能到实际收入的时差归因于制造周期; CL006:AAOI称其2026收入水平受产能与供应链而非市场需求限制; CL021:Lumentum披露云光模块出货环比增长超过40%; CL034:Fabrinet确认其向超大规模客户推进的两个datacom模块项目均为800G scale-out应用,CL001[management]:AAOI称Q1完成对一家大型超大规模客户的首次800G批量交付; CL002[management]:AAOI称Q1末800G模块月产能接近10万只; CL003[management]:AAOI预计800G从Q2开始明显放量; CL007[management]:Cisco披露Q2来自超大规模客户的AI基础设施合计订单为21亿美元; CL021[management]:Lumentum披露云光模块出货环比增长超过40%; CL034[management]:Fabrinet确认其向超大规模客户推进的两个datacom模块项目均为800G scale-out应用,P074,仅AAOI直接称收入受产能与供应链限制；不能升级为行业普遍卡点; 缺少与该受限需求对应的增量产能、制造周期、客户认证及800G批量交付证据,S_AAOI_2026Q1_C;S_AAOI_Q1_RESULT_A;S_CSCO_2026Q2_A;S_FN_2026Q3_C;S_LITE_2026Q3,2026-08-06
T003,solution,扩充800G模块制造能力并爬坡,MOD1,,solution_emerging,partially_supported,partially_supported,insufficient,,CL001:AAOI称Q1完成对一家大型超大规模客户的首次800G批量交付; CL002:AAOI称Q1末800G模块月产能接近10万只; CL003:AAOI预计800G从Q2开始明显放量; CL034:Fabrinet确认其向超大规模客户推进的两个datacom模块项目均为800G scale-out应用,CL001[management]:AAOI称Q1完成对一家大型超大规模客户的首次800G批量交付; CL002[management]:AAOI称Q1末800G模块月产能接近10万只; CL003[management]:AAOI预计800G从Q2开始明显放量; CL034[management]:Fabrinet确认其向超大规模客户推进的两个datacom模块项目均为800G scale-out应用,P074,AAOI已有首次批量交付和产能数据；Fabrinet确认两个800G scale-out项目但未披露规模，客户采用证据仍不足; 缺少与该受限需求对应的增量产能、制造周期、客户认证及800G批量交付证据,S_AAOI_Q1_RESULT_A;S_FN_2026Q3_C,2026-08-06
T004,topic,高速可插拔光学新品发布,MOD1,,not_applicable,company_claim_only,insufficient,insufficient,,CL008:Cisco宣布1.6T OSFP可插拔光模块；不与800G产品作跨代比较; CL012:Cisco宣布800G LPO可插拔光模块；按800G线性电链映射,CL008[management]:Cisco宣布1.6T OSFP可插拔光模块；不与800G产品作跨代比较; CL012[management]:Cisco宣布800G LPO可插拔光模块；按800G线性电链映射,,部署规模和同类可比数据未知,S_CSCO_2026Q2_A,2026-08-04
T005,topic,客户现场审核对产能转收入的滞后,,,candidate,company_claim_only,insufficient,insufficient,,,,,电话会提及审核但尚无第二家公司证据,,
T006,limited_demand,800G与1.6T 2xFR4模块交付需求,C1,,candidate,company_claim_only,company_claim_only,insufficient,,CL013:AAOI称800G或1.6T 2xFR4每只模块需要四颗激光器，使供给更难; CL014:AAOI称当时MOCVD设备处于全面积压状态; CL015:AAOI管理层称行业存在InP激光器制造产能短缺; CL020:Lumentum披露200G EML收入环比增长超过一倍; CL025:Lumentum称Greensboro InP fab要到2028年初才可能形成显著收入贡献; CL027:Lumentum在EML与激光器供给问答中称供需缺口可能超过30%; CL028:Coherent把InP称为行业范围约束并将扩产列为最高优先级之一; CL029:Coherent预计到2027年底再次将内部InP产能提高一倍以上; CL030:Coherent称6英寸线上的EML、CW激光器和光电二极管良率均超过3英寸线; CL033:Fabrinet称激光器是datacom供给波动的主要来源之一；同段另提内存和部分ASIC但不映射到C1,CL020[management]:Lumentum披露200G EML收入环比增长超过一倍; CL025[management]:Lumentum称Greensboro InP fab要到2028年初才可能形成显著收入贡献; CL029[management]:Coherent预计到2027年底再次将内部InP产能提高一倍以上; CL030[management]:Coherent称6英寸线上的EML、CW激光器和光电二极管良率均超过3英寸线,P095,仅AAOI一家在C级逐字稿中提出；800G与1.6T分别处于何种受限程度仍未知; 缺少与800G/1.6T 2xFR4所需激光器规格对应的增量MOCVD产能、可靠性、客户认证和批量交付证据,S_AAOI_2026Q1_C;S_COHR_2026Q3_C;S_FN_2026Q3_C;S_LITE_2026Q3;S_LITE_2026Q3_C,2026-08-06
T007,bottleneck,高速InP激光器制造能力,C1,,candidate,partially_supported,partially_supported,insufficient,,CL013:AAOI称800G或1.6T 2xFR4每只模块需要四颗激光器，使供给更难; CL014:AAOI称当时MOCVD设备处于全面积压状态; CL015:AAOI管理层称行业存在InP激光器制造产能短缺; CL020:Lumentum披露200G EML收入环比增长超过一倍; CL025:Lumentum称Greensboro InP fab要到2028年初才可能形成显著收入贡献; CL027:Lumentum在EML与激光器供给问答中称供需缺口可能超过30%; CL028:Coherent把InP称为行业范围约束并将扩产列为最高优先级之一; CL029:Coherent预计到2027年底再次将内部InP产能提高一倍以上; CL030:Coherent称6英寸线上的EML、CW激光器和光电二极管良率均超过3英寸线; CL033:Fabrinet称激光器是datacom供给波动的主要来源之一；同段另提内存和部分ASIC但不映射到C1,CL020[management]:Lumentum披露200G EML收入环比增长超过一倍; CL025[management]:Lumentum称Greensboro InP fab要到2028年初才可能形成显著收入贡献; CL029[management]:Coherent预计到2027年底再次将内部InP产能提高一倍以上; CL030[management]:Coherent称6英寸线上的EML、CW激光器和光电二极管良率均超过3英寸线,P095,AAOI、Lumentum与Coherent独立支持高速InP或EML有效产能偏紧，Fabrinet也把激光器列为主要短缺之一；仅AAOI提到MOCVD backlog; 缺少与800G/1.6T 2xFR4所需激光器规格对应的增量MOCVD产能、可靠性、客户认证和批量交付证据,S_AAOI_2026Q1_C;S_COHR_2026Q3_C;S_FN_2026Q3_C;S_LITE_2026Q3;S_LITE_2026Q3_C,2026-08-06
T008,solution,扩建InP激光器外延与芯片产能,M2a,,solution_emerging,partially_supported,company_claim_only,insufficient,,CL025:Lumentum称Greensboro InP fab要到2028年初才可能形成显著收入贡献; CL029:Coherent预计到2027年底再次将内部InP产能提高一倍以上; CL030:Coherent称6英寸线上的EML、CW激光器和光电二极管良率均超过3英寸线,CL025[management]:Lumentum称Greensboro InP fab要到2028年初才可能形成显著收入贡献; CL029[management]:Coherent预计到2027年底再次将内部InP产能提高一倍以上; CL030[management]:Coherent称6英寸线上的EML、CW激光器和光电二极管良率均超过3英寸线,P095,Coherent称6英寸线三类器件良率高于3英寸并继续扩产；Lumentum新厂仍需约六季度，说明进展存在但尚未证明行业供给已缓解; 缺少与800G/1.6T 2xFR4所需激光器规格对应的增量MOCVD产能、可靠性、客户认证和批量交付证据,S_COHR_2026Q3_C;S_LITE_2026Q3_C,2026-08-06
T009,topic,Silicon One交换ASIC出货里程碑,,,not_applicable,verified,insufficient,insufficient,,CL009:Cisco预计在FY26 Q2出货第100万颗Silicon One交换芯片; CL010:Cisco在下一季确认已出货第100万颗Silicon One交换芯片,CL009[management]:Cisco预计在FY26 Q2出货第100万颗Silicon One交换芯片; CL010[management]:Cisco在下一季确认已出货第100万颗Silicon One交换芯片,,仅跟踪管理层承诺与兑现；不得映射到模块电芯片C5,S_CSCO_2026Q1_A;S_CSCO_2026Q2_A,2026-08-04
T010,topic,1.6T可插拔双架构演示与商业爬坡,MOD1,RB006,solution_emerging,partially_supported,company_claim_only,insufficient,,CL022:Lumentum预计1.6T光模块在FY26 Q4爬坡; CL024:Lumentum称关键组件约束使1.6T相关段落中的模块出货显著低于客户需求,CL017[corporate_author]:Lumentum博客称现场演示两种NVIDIA 1.6T 2xDR4 OSFP：UHP CW加硅光和8x200G EML架构; CL022[management]:Lumentum预计1.6T光模块在FY26 Q4爬坡,,Lumentum管理层只确认计划爬坡和组件约束；未确认博客展示的两种NVIDIA模块均已商业部署,S_LITE_2026Q3;S_LITE_2026Q3_C;S_LITE_BLOG_20260430,2026-08-06
