claim_id,source_id,speaker,speaker_role,statement_type,event_type,side,theme_id,quote,anchor,review_status,mapping_track,cell_id,route_item_id,unmapped_theme,unmapped_reason,summary
CL001,S_AAOI_Q1_RESULT_A,Thompson Lin,management,fact,first_shipment,supply,T003,We completed our first volume shipment of our 800G products to one of our large hyperscale customers in Q1.,CEO quote paragraph,reviewed,canonical,MOD1,,,,AAOI称Q1完成对一家大型超大规模客户的首次800G批量交付
CL002,S_AAOI_Q1_RESULT_A,Stefan Murry,management,fact,scaled,supply,T003,"exiting Q1 with total manufacturing capacity of nearly 100,000 units of 800G transceivers per month",CFO quote paragraph,reviewed,canonical,MOD1,,,,AAOI称Q1末800G模块月产能接近10万只
CL003,S_AAOI_Q1_RESULT_A,Thompson Lin,management,forward_looking,ramping,supply,T003,we continue to anticipate a strong volume ramp of our 800G products starting in Q2,CEO quote paragraph,reviewed,canonical,MOD1,,,,AAOI预计800G从Q2开始明显放量
CL004,S_AAOI_2026Q1_C,Timothy Savageaux,analyst,analyst_question,unknown,unknown,T002,First question is trying to understand where you are capacity-wise versus what you are forecasting.,Q&A / Timothy Savageaux lines 224-226,reviewed,canonical,MOD1,,,,分析师追问名义产能与收入预测之间的差异；这只是问题而非事实确认
CL005,S_AAOI_2026Q1_C,Stefan Murry,management,fact,unknown,supply,T002,"It is just timing on how long it takes to do the manufacturing process, really.",Q&A / response lines 227-230,reviewed,canonical,MOD1,,,,管理层把名义产能到实际收入的时差归因于制造周期
CL006,S_AAOI_2026Q1_C,Stefan Murry,management,fact,unknown,supply,T002,"this revenue level is limited by our production capacity and supply chain, not market demand",prepared remarks line 150,reviewed,canonical,MOD1,,,,AAOI称其2026收入水平受产能与供应链而非市场需求限制
CL007,S_CSCO_2026Q2_A,Chuck Robbins,management,fact,volume_order,demand,T002,AI infrastructure orders taken from hyperscalers totaled $2.1B in Q2,Q2 FY26 prepared remarks p.4,reviewed,unmapped,,,AI基础设施合计订单,该金额合并silicon、systems与optics且无法拆出光模块份额,Cisco披露Q2来自超大规模客户的AI基础设施合计订单为21亿美元
CL008,S_CSCO_2026Q2_A,Chuck Robbins,management,fact,announced,supply,T004,"We also announced two new pluggable optics: a 1.6 terabits-per-second OSFP and an 800G LPO",Q2 FY26 prepared remarks p.4 / first product atomic summary,reviewed,canonical,MOD1,,,,Cisco宣布1.6T OSFP可插拔光模块；不与800G产品作跨代比较
CL012,S_CSCO_2026Q2_A,Chuck Robbins,management,fact,announced,supply,T004,"We also announced two new pluggable optics: a 1.6 terabits-per-second OSFP and an 800G LPO",Q2 FY26 prepared remarks p.4 / second product atomic summary,reviewed,canonical,C5,RB004,,,Cisco宣布800G LPO可插拔光模块；按800G线性电链映射
CL009,S_CSCO_2026Q1_A,Chuck Robbins,management,forward_looking,scaled,supply,T009,We expect to ship our 1-millionth chip in Q2 FY26.,Q1 FY26 prepared remarks p.4,reviewed,unmapped,,,Silicon One交换ASIC,现有C5仅覆盖模块DSP Driver TIA CDR与主控MCU；交换ASIC不在当前光模块BOM,Cisco预计在FY26 Q2出货第100万颗Silicon One交换芯片
CL010,S_CSCO_2026Q2_A,Chuck Robbins,management,fact,scaled,supply,T009,We shipped our one-millionth Silicon One chip in Q2,Q2 FY26 prepared remarks p.4,reviewed,unmapped,,,Silicon One交换ASIC,现有C5仅覆盖模块DSP Driver TIA CDR与主控MCU；交换ASIC不在当前光模块BOM,Cisco在下一季确认已出货第100万颗Silicon One交换芯片
CL011,S_AAOI_2026Q1_C,Thompson Lin,management,fact,unknown,supply,T005,some customers even have different processes,Q&A / response to Timothy Savageaux,candidate,unmapped,,,客户审核流程差异,现有树与路线BOM没有客户审核流程节点,AAOI提到不同客户可能采用不同流程；尚待人工扩展上下文和第二来源
CL013,S_AAOI_2026Q1_C,Thompson Lin,management,fact,unknown,supply,T007,"it would be very tough for 800G or 1.6T 2xFR4, because you need four lasers",Q&A lines 231-233,reviewed,canonical,C1,,,,AAOI称800G或1.6T 2xFR4每只模块需要四颗激光器，使供给更难
CL014,S_AAOI_2026Q1_C,Thompson Lin,management,fact,unknown,supply,T007,Right now MOCVD is on complete backlog,Q&A lines 231-233,reviewed,canonical,EQ1,,,,AAOI称当时MOCVD设备处于全面积压状态
CL015,S_AAOI_2026Q1_C,Stefan Murry,management,fact,unknown,supply,T007,We see a shortage of indium phosphide laser manufacturing capacity across the industry right now,Q&A lines 172-182,reviewed,canonical,C1,,,,AAOI管理层称行业存在InP激光器制造产能短缺
CL016,S_LITE_BLOG_20260430,Christian Urricariet,corporate_author,technical_claim,unknown,both,T012,"It is pushing the entire optical ecosystem to solve for scaling in bandwidth, power, thermal efficiency, reliability, manufacturability, and supply-chain resilience.",official blog lines 19-21,reviewed,unmapped,,,多维光学扩展约束,跨多个物理与制造维度且不能落入单一BOM节点,Lumentum技术作者提出AI光学生态需要同时应对带宽功耗散热可靠性制造和供应链问题；不视为已证实行业瓶颈
CL017,S_LITE_BLOG_20260430,Christian Urricariet,corporate_author,technical_demo,demonstrated,supply,T010,"Lumentum demonstrated two live NVIDIA 1.6T 2xDR4 OSFP transceiver modules built on different optical architectures, but both enabled by Lumentum lasers",official blog lines 24-30,reviewed,canonical,MOD1,RB006,,,Lumentum博客称现场演示两种NVIDIA 1.6T 2xDR4 OSFP：UHP CW加硅光和8x200G EML架构
CL018,S_LITE_BLOG_20260430,Christian Urricariet,corporate_author,technical_demo,demonstrated,supply,T011,"Lumentum showed a live 4x400G EML-based pluggable module, illustrating a practical path to future 3.2T pluggable modules",official blog lines 31-32,reviewed,unmapped,,,3.2T与400G每lane演示,现有route_bom尚未定义3.2T产品路线,Lumentum博客称演示4x400G EML可插拔模块并将其作为未来8x400G 3.2T路径
CL019,S_LITE_BLOG_20260430,Christian Urricariet,corporate_author,technical_demo,demonstrated,supply,T013,"we demonstrated an 800 mW Super High-Power (SHP) laser, designed to support higher optical power fan-out",official blog lines 37-40,reviewed,canonical,C1,,,,Lumentum博客称演示800mW超高功率激光器以支持更多光引擎功率分发
CL020,S_LITE_2026Q3,Wupen Yuen,management,fact,scaled,supply,T007,200G EML revenue more than doubled sequentially,Q3 FY26 earnings presentation p.3,reviewed,canonical,C1,,,,Lumentum披露200G EML收入环比增长超过一倍
CL021,S_LITE_2026Q3,Wupen Yuen,management,fact,scaled,supply,T002,"cloud transceiver shipments, which grew over 40% sequentially",Q3 FY26 earnings presentation p.3,reviewed,canonical,MOD1,,,,Lumentum披露云光模块出货环比增长超过40%
CL022,S_LITE_2026Q3,Wupen Yuen,management,forward_looking,ramping,supply,T010,1.6T transceivers on track for Q4 FY26 ramp,Q3 FY26 earnings presentation p.3,reviewed,canonical,MOD1,RB006,,,Lumentum预计1.6T光模块在FY26 Q4爬坡
CL023,S_LITE_2026Q3,Wupen Yuen,management,forward_looking,ramping,supply,T013,on schedule to deliver meaningful revenue exiting CY 2026,Q3 FY26 earnings presentation p.3 UHP laser bullet,reviewed,canonical,C1,,,,Lumentum预计UHP CPO激光器在2026年12月季度产生有意义收入
CL024,S_LITE_2026Q3_C,Wupen Yuen,management,fact,unknown,supply,T010,"Despite these gains, supply constraints on critical components keep our shipments well below customer demand.",transcript prepared remarks / systems product category,reviewed,canonical,MOD1,RB006,,,Lumentum称关键组件约束使1.6T相关段落中的模块出货显著低于客户需求
CL025,S_LITE_2026Q3_C,Michael E. Hurlston,management,forward_looking,ramping,supply,T008,we're still 6 or so quarters away from seeing significant contribution from Greensboro,transcript lines 243-248,reviewed,canonical,M2a,,,,Lumentum称Greensboro InP fab要到2028年初才可能形成显著收入贡献
CL026,S_LITE_2026Q3_C,Wupen Yuen,management,fact,unknown,supply,T017,"initial contributions from both scale-out CPO and OCS, they are still relatively modest",transcript lines 97-99,reviewed,unmapped,,,CPO商业化成熟度,该陈述合并CPO与OCS初始贡献且不能落入单一BOM节点,Lumentum称scale-out CPO与OCS已有初始贡献但仍相对较小，scale-up CPO仍处早期
CL027,S_LITE_2026Q3_C,Michael E. Hurlston,management,fact,unknown,supply,T007,"The supply-demand imbalance is probably even higher than we reported in our last call, somewhere greater than 30%.",transcript Q&A / Ryan Koontz response on EML supply,reviewed,canonical,C1,,,,Lumentum在EML与激光器供给问答中称供需缺口可能超过30%
CL028,S_COHR_2026Q3_C,James Robert Anderson,management,fact,unknown,supply,T007,Given the exceptionally strong demand environment and the industry-wide constraint in indium phosphide,transcript prepared remarks lines 74-78,reviewed,canonical,C1,,,,Coherent把InP称为行业范围约束并将扩产列为最高优先级之一
CL029,S_COHR_2026Q3_C,James Robert Anderson,management,forward_looking,ramping,supply,T008,We also expect to more than double our internal indium phosphide capacity again by the end of calendar 2027.,transcript prepared remarks lines 77-79,reviewed,canonical,M2a,,,,Coherent预计到2027年底再次将内部InP产能提高一倍以上
CL030,S_COHR_2026Q3_C,James Robert Anderson,management,fact,scaled,supply,T008,the yields for each of the three device categories continue to exceed those of our 3-inch production lines,transcript prepared remarks lines 79-80,reviewed,canonical,M2a,,,,Coherent称6英寸线上的EML、CW激光器和光电二极管良率均超过3英寸线
CL031,S_COHR_2026Q3_C,James Robert Anderson,management,fact,ramping,supply,T014,we recently resolved a bottleneck in our production capacity and are now ramping output rapidly across two production facilities,transcript prepared remarks lines 81-83,reviewed,unmapped,,,OCS整机生产节点,现有树与路线BOM未定义OCS整机及内部组件产出节点,Coherent称已解决OCS生产瓶颈并在两座工厂快速提高产出
CL032,S_FN_2026Q3_C,Seamus Grady,management,fact,unknown,supply,T016,"shipments and revenue were well below demand levels",transcript prepared remarks lines 127-129,reviewed,unmapped,,,高速数通关键组件组合约束,同段约束跨激光器内存及ASIC不能映射到单一BOM节点,Fabrinet称datacom组件与材料短缺使出货和收入显著低于需求
CL033,S_FN_2026Q3_C,Seamus Grady,management,fact,unknown,supply,T007,It is mainly lasers,transcript prepared remarks lines 128-130,reviewed,canonical,C1,,,,Fabrinet称激光器是datacom供给波动的主要来源之一；同段另提内存和部分ASIC但不映射到C1
CL034,S_FN_2026Q3_C,Seamus Grady,management,fact,ramping,supply,T003,"They are both 800G, but they are different applications and both scale-out.",transcript Q&A lines 200-203,reviewed,canonical,MOD1,,,,Fabrinet确认其向超大规模客户推进的两个datacom模块项目均为800G scale-out应用
CL035,S_FN_2026Q3_C,Seamus Grady,management,fact,unknown,supply,T017,"We are already seeing some CPO revenue, but the amounts are relatively small at this point.",transcript prepared remarks lines 129-131,reviewed,unmapped,,,CPO商业化成熟度,现有树与路线BOM未定义跨封装光源与系统的CPO成熟度节点,Fabrinet称已有少量CPO收入并正与三家客户推进项目
CL036,S_ANET_2026Q1_CALL,Jayshree Ullal,management,fact,unknown,supply,T016,"We are experiencing industry-wide shortages across the board, be it wafers, silicon chips, CPUs, optics, and, of course, memory",transcript prepared remarks lines 122-123,reviewed,unmapped,,,高速数通关键组件组合约束,约束横跨晶圆芯片CPU光学与内存不能映射到单一BOM节点,Arista称行业范围多类关键组件短缺且需求超过当年供给
CL037,S_ANET_2026Q1_CALL,Jayshree Ullal,management,fact,scaled,demand,T019,greater than 100 cumulative customers to date in 800 gigabit Ethernet deployments,transcript prepared remarks lines 94-96,reviewed,unmapped,,,800GbE下游系统部署,以太网部署未披露光模块形态和供应商,Arista称800GbE累计部署客户已超过100家
CL038,S_ANET_2026Q1_CALL,Jayshree Ullal,management,forward_looking,ramping,demand,T019,expect the addition of 1.6 terabit in 2027 at production scale,transcript prepared remarks lines 94-96,reviewed,unmapped,,,1.6T下游系统部署,管理层未拆分1.6T采用的光模块形态和供应商,Arista预计1.6T于2027年进入生产规模
CL039,S_ANET_2026Q1_CALL,Jayshree Ullal,management,fact,unknown,demand,T017,"these are still science experiments, and they are very proprietary",transcript Q&A / Jayshree Ullal response lines 208-210,reviewed,unmapped,,,CPO商业化成熟度,现有树与路线BOM未定义跨封装光源与系统的CPO成熟度节点,Arista称当时CPO仍偏实验且各供应商方案高度专有并把开放CPO放在数年后
CL040,S_NVDA_2026Q1_CALL,Colette Kress,management,fact,scaled,demand,T018,Spectrum-X is now larger than all Ethernet network peers combined,Q1 FY27 corrected transcript p.3 / management discussion,reviewed,unmapped,,,AI网络平台采用,网络平台收入不能拆分为铜互连或光互连,NVIDIA称Spectrum-X规模已超过其他以太网网络同行合计
CL041,S_NVDA_2026Q1_CALL,Colette Kress,management,fact,scaled,demand,T018,Data Center networking revenue of $15 billion nearly tripled year-over-year,Q1 FY27 corrected transcript p.3 / management discussion,reviewed,unmapped,,,AI网络平台需求,该收入合并Ethernet InfiniBand与NVLink且无光学拆分,NVIDIA称数据中心网络收入约150亿美元并同比接近三倍
CL042,S_META_2026Q1_CALL,Susan Li,management,fact,unknown,demand,T020,"investments in servers, data centers, and network infrastructure",Q1 2026 official transcript p.4 / management discussion,reviewed,unmapped,,,AI数据中心容量建设,资本开支合并服务器数据中心与网络且无光学拆分,Meta称Q1资本开支包含服务器数据中心与网络基础设施投资
CL043,S_META_2026Q1_CALL,Susan Li,management,forward_looking,ramping,demand,T020,substantially expanding our own data center footprint,Q1 2026 official transcript pp.7-8 / management discussion,reviewed,unmapped,,,AI数据中心容量建设,数据中心扩建不等同于具体光模块路线需求,Meta称将显著扩大自有数据中心版图并通过供应链协议锁定未来组件
CL044,S_META_2026Q1_CALL,Susan Li,management,forward_looking,ramping,demand,T020,"cloud deals that are scheduled to come online over the course of this year and 2027",Q1 2026 official transcript pp.7-8 / management discussion,reviewed,unmapped,,,AI数据中心容量建设,云容量上线未披露网络速率或光学架构,Meta称多年期云协议的容量将在2026年与2027年陆续上线
