node_id,名称,类型,国别,代码,备注
N01,Fabrinet,代工(EMS),泰国,NYSE:FN,财年6月止
N02,NVIDIA,算力终端/系统商,美国,NASDAQ:NVDA,
N03,Cisco,网络设备OEM,美国,NASDAQ:CSCO,2021收购Acacia
N04,Lumentum,光器件厂,美国,NASDAQ:LITE,2022收购NeoPhotonics;财年6-7月止
N05,Acacia,相干光器件/DSP,美国,已退市,2021被Cisco收购
N06,Infinera,系统设备商,美国,已退市,2025被Nokia收购
N07,NeoPhotonics,光器件厂(已消亡),美国,已退市,2022被Lumentum收购;华为边死亡序列原型
N08,华为(含海思),系统设备商,中国,未上市,2019-05进BIS实体清单
N09,Ciena,系统设备商,美国,NYSE:CIEN,
N10,中际旭创,光模块厂,中国,300308,
N11,新易盛,光模块厂,中国,300502,
N12,天孚通信,光器件/组件厂,中国,300394,
N13,猎奇智能,老化测试设备商,中国,IPO在途(创业板),
N14,罗博特科/ficonTEC,耦合封装设备商,中国/德国,300757,ficonTEC为其收购标的
N15,博通(Broadcom),芯片/CPO,美国,NASDAQ:AVGO,
N16,凯格精机,组装设备商,中国,301338,
N17,浙江粮油,出口代理(贸易商),中国,未上市,新易盛2024年报程序段落点名
N18,Coherent,光器件/模块厂,美国,NYSE:COHR,前II-VI;财年6月止;客户全匿名
N19,Applied Optoelectronics(AAOI),光模块厂,美国,NASDAQ:AAOI,财年12月止;客户全实名
N20,Microsoft,云巨头(终端),美国,NASDAQ:MSFT,
N21,Oracle,云巨头(终端),美国,NYSE:ORCL,FY2024年报追溯实名
N22,ATX Networks,CATV设备商,加拿大,未上市,
N23,Digicomm,CATV分销商,美国,未上市,分销夹层——终端MSO不可见
N24,Apple,消费电子终端,美国,NASDAQ:AAPL,3D传感需求非光通信
N25,Nokia,系统设备商,芬兰,NYSE:NOK,2025收购Infinera
N26,Google,云巨头(终端),美国,NASDAQ:GOOGL,Lumentum FY2024实名直销边
N27,派克新材,锻件厂(跨行业),中国,605123,边界外——仅E013 schema参考
N28,等离子体所,科研院所(跨行业),中国,—,边界外——仅E013 schema参考
N29,PINEWAVE,旭创关联方(海外销售主体待核),待核,未上市,2025年旭创对其销售4.34亿美元;关联自然人任职
N30,索恩格(SEG Automotive),汽车电机厂,德国/中国,未上市,猎奇非光通信客户
N31,索尔思(Source Photonics),光模块厂,美国/中国,未上市,猎奇新客户
N32,光迅科技,光模块/器件厂,中国,002281,猎奇客户
N33,源杰科技,光芯片厂,中国,688498,猎奇客户
N34,星微科技,驱动控制供应商,中国,未上市,猎奇供应商(实名)
N35,奥普瑞,加工件供应商,中国,未上市,猎奇供应商
N36,南央国际,滑台类日本代理,中国/日本,未上市,猎奇供应商
N37,津微光电,神津精机代理,中国/日本,未上市,猎奇供应商——日系上游标记
N38,烽火通信,系统设备商,中国,600498,光迅科技关联方(同属中国信科)
N39,奥特维,组件封装设备商,中国,688516,主业光伏
N40,博众精工,自动化设备商,中国,688097,3C自动化主业
N41,快克智能,焊接设备商,中国,603203,
N42,普源精电,测试测量仪器,中国,688337,
