"代码","名称","市场","行业分类","分类来源"
"000020","深华发Ａ","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000020&sdate=1990-01-01&edate=2026-07-24）"
"000045","深纺织Ａ","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000045&sdate=1990-01-01&edate=2026-07-24）"
"000050","深天马Ａ","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000050&sdate=1990-01-01&edate=2026-07-24）"
"000063","中兴通讯","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000063&sdate=1990-01-01&edate=2026-07-24）"
"000070","特发信息","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000070&sdate=1990-01-01&edate=2026-07-24）"
"000100","TCL科技","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000100&sdate=1990-01-01&edate=2026-07-24）"
"000509","华塑控股","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000509&sdate=1990-01-01&edate=2026-07-24）"
"000536","华映科技","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000536&sdate=1990-01-01&edate=2026-07-24）"
"000586","汇源通信","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000586&sdate=1990-01-01&edate=2026-07-24）"
"000636","风华高科","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000636&sdate=1990-01-01&edate=2026-07-24）"
"000725","京东方Ａ","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000725&sdate=1990-01-01&edate=2026-07-24）"
"000727","冠捷科技","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000727&sdate=1990-01-01&edate=2026-07-24）"
"000823","超声电子","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=000823&sdate=1990-01-01&edate=2026-07-24）"
"001267","汇绿生态","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=001267&sdate=1990-01-01&edate=2026-07-24）"
"001308","康冠科技","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=001308&sdate=1990-01-01&edate=2026-07-24）"
"001373","翔腾新材","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=001373&sdate=1990-01-01&edate=2026-07-24）"
"001389","广合科技","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=001389&sdate=1990-01-01&edate=2026-07-24）"
"001399","惠科股份","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=001399&sdate=1990-01-01&edate=2026-07-24）"
"002017","东信和平","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002017&sdate=1990-01-01&edate=2026-07-24）"
"002036","联创电子","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002036&sdate=1990-01-01&edate=2026-07-24）"
"002104","恒宝股份","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002104&sdate=1990-01-01&edate=2026-07-24）"
"002106","莱宝高科","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002106&sdate=1990-01-01&edate=2026-07-24）"
"002134","天津普林","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002134&sdate=1990-01-01&edate=2026-07-24）"
"002137","实益达","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002137&sdate=1990-01-01&edate=2026-07-24）"
"002138","顺络电子","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002138&sdate=1990-01-01&edate=2026-07-24）"
"002141","贤丰控股","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002141&sdate=1990-01-01&edate=2026-07-24）"
"002194","武汉凡谷","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002194&sdate=1990-01-01&edate=2026-07-24）"
